record,uuid,date,s2,s3,s4,s5r1,s5r2,s5r3,s5r4,s5r5,s5r6,s5r7,s6,s6r22oe,origcat,state,akc,alc,arc,azc,cac,coc,ctc,dec,flc,gac,hic,iac,idc,ilc,inc,ksc,kyc,lac,mac,mec,mdc,mic,mnc,moc,msc,mtc,ncc,ndc,nec,nhc,nmc,nvc,njc,nyc,ohc,okc,orc,pac,ric,scc,sdc,tnc,txc,utc,vac,vtc,wac,wic,wvc,wyc,s9,educat,s10,q1,q2,splitassignment1,pipeq3r1,pipeq3r2,pipeq3none,q3,q3r8oe,pipeq4r3,pipeq4r2,pipeq4none,q4r1,q4r2,q4r3,q4r4,q4r5,q4r6,q4r7,q4r8,q4r9,q5,q6,q7,q8r1,q8r2,q8r3,q8r4,q8r5,q8r6,q8r7,q8r8,q8r9,q8r10,q8r11,q8r12,q9,q10,q11,q12,q13,q14r1,q14r2,q14r3,q14r4,q14r5,q15,q16,q17r1,q18,q19,q20r1,q20r2,q20r3,q20r4,q20r5,q21,q71,q22,q23,q24,q25,q26,q27,q28,q29r1,q29r2,q29r3,q29r4,q29r5,q29r6,q30r1,q30r2,q30r3,q30r4,q30r5,q30r6,q30r7,q30r8,oaxaca_treatments,q31,q32,q33,q34,q35r1,q35r2,q35r3,q35r4,q35r5,q36,q37,q37r8oe,q38,q38r8oe,q39,q40,q41,q42,q43,q44,q45,q46,q47,q48,q49,q50r1,q50r2,q50r3,q50r4,q50r5,q50r6,q50r7,q50r7oe,q51,q52r1,q52r2,q52r3,q52r4,q52r5,q52r6,q52r7,q52r8,q52r9,q52r10,q52r11,q52r12,q52r13,q52r14,q72,q53a,q53b,q54,q55,q56r1,q56r2,q56r3,q56r4,q56r5,q56r6,q56r7,q56r8,q56r9,q57,q58,q59,q60,q61,q62,q63r1,q63r2,q63r3,q63r4,q63r5,q63r6,q63r7,q64,q65,q66,q67,q68r1,q68r2,q68r3,q68r4,q68r5,q68r6,q68r7,q68r8,q69r1,q69r2,q69r3,q69r4,q69r5,q69r6,q69r7,q69r8,q69r9,q69r10,q69r11,q69r12,q69r13,q69r14,q69r15,q69r16,q69r17,q69r18,q69r19,q69r20,q69r21,q69r22,q69r23,q69r24,q69r25,q69r26,q69r27,q69r28,q69r29,q69r30,q69r31,q69r32,q69r31oe,q70,vlist,qtime,vmobiledevice,vmobileos,start_date,declang,weight
1351,"7b1646144fd8ea1w",29apr2025 12:58:00,4,1,2,0,1,0,0,0,0,0,13,"",1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,6,3,1,28,2,1,1,0,0,3,"",1,0,0,1,3,3,1,1,1,1,3,3,2,,1,1,0,1,0,1,0,0,0,0,,0,0,2,2,2,3,,0,0,0,0,1,2,4,4,1,2,0,0,0,0,1,1,1,1,2,1,,2,2,3,1,2,1,2,1,1,0,0,0,0,0,1,1,0,3,2,2,3,2,0,1,1,0,0,2,4,"",,"",2,1,3,2,2,4,4,3,3,2,3,,,,,,,,"",,0,1,0,1,0,0,0,0,1,1,0,0,0,1,2,2,2,2,3,1,0,0,1,0,0,0,1,0,4,3,11,1,1,1,1,0,0,0,0,0,0,1,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","98105",9,1314.73,1,2,29apr2025 12:34:00,"english",.8710146
1352,"u4e05mucabz50u7p",29apr2025 12:53:00,4,2,2,1,1,0,0,0,0,0,13,"",1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,7,3,1,28,2,1,1,0,0,1,"",1,0,0,3,2,2,3,2,2,3,3,2,2,,3,1,0,1,0,1,0,1,0,0,,0,0,4,2,2,4,,0,1,0,0,0,2,1,6,2,2,0,0,0,0,1,1,1,1,1,1,,2,6,3,2,1,2,1,2,1,0,1,0,0,0,1,1,0,4,2,2,1,1,1,1,0,0,0,2,1,"",,"",4,1,3,2,1,5,5,2,2,1,3,,,,,,,,"",,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2,2,2,0,0,0,1,0,1,0,0,0,1,2,11,1,1,1,0,0,1,0,1,0,0,1,2,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","98121",6,954.1,5,6,29apr2025 12:36:00,"english",.8155863
1353,"kpb09q5b076e0xbb",29apr2025 12:50:00,6,1,2,0,1,0,0,0,0,0,8,"",5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,6,3,1,36,1,2,0,1,0,1,"",0,1,0,1,1,2,2,3,2,1,2,2,,1,2,0,1,1,1,1,0,0,0,0,,0,0,5,5,1,,4,1,0,0,0,0,3,3,7,3,4,0,0,0,0,1,1,1,2,1,,2,3,4,2,2,3,3,2,2,2,0,0,0,0,1,0,0,0,1,5,3,1,4,0,0,1,0,0,5,,"",4,"",3,1,2,2,3,5,5,4,4,1,3,,,,,,,,"",,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,2,1,2,1,0,0,0,1,0,0,0,0,0,4,3,9,1,1,1,1,0,0,0,0,0,0,1,2,2,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","19053",6,760.14,1,2,29apr2025 12:37:00,"english",1.174162
1356,"7qft88e97qn8gtd5",29apr2025 12:49:00,4,2,2,0,1,0,0,0,0,0,21,"",3,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,6,3,1,24,1,2,0,1,0,2,"",0,1,0,2,3,3,3,2,1,3,2,2,,2,1,0,0,0,0,0,1,0,0,1,,0,0,5,5,5,,5,0,0,0,1,0,2,2,7,1,4,0,0,0,0,1,3,1,1,2,,1,3,1,4,2,2,2,1,2,2,0,0,1,0,0,0,1,0,2,5,4,1,2,0,1,0,0,0,5,,"",3,"",3,2,1,1,4,5,5,2,2,2,3,,,,,,,,"",,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,2,1,0,0,0,0,1,0,0,0,0,5,1,9,2,1,4,0,0,0,0,0,1,0,3,2,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","74134",9,633.21,1,2,29apr2025 12:38:00,"spanish",.7915986
1367,"xyecsbeat665rtvg",29apr2025 20:29:00,3,2,2,0,1,0,0,0,0,0,13,"",1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,6,3,2,26,1,2,0,1,0,6,"",0,1,0,2,2,2,2,2,2,2,2,2,,3,1,0,0,0,0,0,0,0,0,0,0,,1,3,2,2,,3,0,0,0,1,0,1,1,6,1,2,0,0,0,0,1,3,3,2,5,,2,2,2,3,2,2,2,2,2,2,0,0,0,0,0,1,1,0,4,3,3,3,5,0,0,0,0,1,3,,"",9,"",2,3,3,3,3,4,3,3,3,1,3,,,,,,,,"",,1,0,1,1,1,1,1,1,1,0,0,1,1,1,2,2,3,2,2,0,0,0,0,0,0,0,0,1,,3,11,1,2,3,1,0,0,0,0,0,0,,1,1,,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","77007",6,22499.6,5,6,29apr2025 12:52:00,"english",.9211329
1374,"g6epra4j0fdry8nr",29apr2025 13:03:00,4,1,2,0,1,0,0,0,0,0,3,"",3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,6,3,1,13,1,1,1,1,0,1,"",1,0,0,3,2,2,2,2,2,2,2,2,4,,1,0,0,0,0,0,0,0,0,1,,0,0,5,5,5,5,,0,0,0,1,0,2,1,4,3,4,0,0,0,0,1,3,3,1,2,2,,1,1,3,2,2,3,2,2,2,0,1,0,1,1,0,0,0,4,1,3,2,3,1,0,0,0,0,6,3,"",,"",2,1,1,1,1,5,5,3,3,1,3,,,,,,,,"",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,1,0,0,1,1,0,1,0,0,1,1,3,2,1,2,0,0,0,0,0,1,0,1,3,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Hispano","10036",9,478.25,1,2,29apr2025 12:54:00,"english",1.014476
1387,"mcskccterts49cz1",29apr2025 13:18:00,6,2,2,0,1,0,0,0,0,0,15,"",2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,4,2,1,43,1,2,0,1,0,1,"",0,1,0,2,2,2,2,3,2,3,2,2,,3,1,1,0,0,0,0,0,0,0,1,,0,0,4,3,3,,3,0,0,1,0,0,4,2,5,2,3,0,0,0,0,1,1,4,2,5,,2,3,1,3,2,2,1,1,1,1,0,0,1,0,1,0,1,0,3,3,3,3,3,0,0,0,0,1,2,,"",3,"",3,1,4,1,3,3,3,1,1,3,3,,,,,,,,"",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,,,1,1,1,0,0,0,1,1,0,6,3,5,1,2,1,0,0,0,1,0,0,0,2,3,,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","98107",6,1294.23,1,2,29apr2025 12:57:00,"english",1.055465
1417,"d3u4daya0yhgrx83",29apr2025 13:37:00,3,2,2,0,1,0,0,0,0,0,7,"",4,10,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,12,2,1,1,0,0,3,"",1,0,0,2,2,2,3,3,2,3,1,2,3,,2,0,0,0,0,0,0,1,0,0,,0,0,5,5,5,2,,0,0,0,1,0,2,2,4,2,3,0,0,0,0,1,3,3,2,3,3,,2,6,3,2,2,3,2,2,2,0,0,0,0,1,0,0,0,2,3,3,2,2,0,0,0,1,0,1,3,"",,"",2,2,2,1,3,4,4,3,3,1,3,,,,,,,,"",,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,1,2,3,0,0,0,0,1,0,0,0,0,1,2,10,1,2,2,1,0,0,0,0,0,0,1,2,1,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","34117",9,928.81,1,1,29apr2025 13:20:00,"english",.6811266
1463,"ydnpys628m90vgv7",29apr2025 14:28:00,6,1,2,0,1,0,0,0,0,0,7,"",4,10,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,68,2,2,0,1,0,2,"",0,1,0,3,3,3,2,3,3,3,2,3,,4,1,0,0,0,0,0,0,0,0,0,,0,1,2,1,2,,1,0,0,0,1,0,1,1,7,1,1,0,0,0,0,1,3,3,5,5,,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,0,0,1,1,2,3,3,5,0,0,0,0,1,6,,"",1,"",3,3,4,3,4,4,4,4,4,1,3,,,,,,,,"",,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,,,0,0,0,0,0,0,0,0,1,,3,5,1,3,4,1,0,0,0,0,0,0,1,1,2,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"","33196",1,1748.15,6,6,29apr2025 13:58:00,"english",1.136589
1476,"ggdpuqhm0xfbdvzp",29apr2025 14:16:00,3,1,2,0,1,1,0,0,0,0,5,"",3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,6,3,1,22,2,1,1,0,0,6,"",1,0,0,2,2,2,2,2,2,2,2,2,1,,2,0,0,0,1,0,1,1,0,0,,0,0,4,2,2,2,,1,1,1,0,0,2,1,6,1,2,0,0,0,0,1,1,1,1,1,1,,1,7,2,1,1,2,2,2,2,0,0,1,0,0,1,1,0,4,2,1,2,3,1,0,0,0,0,1,3,"",,"",3,1,3,3,3,5,5,4,4,1,3,,,,,,,,"",,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,2,5,2,1,0,0,0,0,0,0,0,0,1,,3,10,1,1,1,1,0,0,0,0,0,0,1,2,2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","10466",8,1040.62,5,6,29apr2025 13:58:00,"english",.8115807
1492,"cnfhpjyza9gqbj85",29apr2025 15:33:00,3,2,2,0,1,0,0,0,0,0,13,"",1,10,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,25,2,2,0,1,0,1,"",0,1,0,2,2,2,2,3,2,1,2,1,,3,2,0,0,0,0,0,0,1,0,1,,1,0,5,5,5,,4,0,0,1,0,0,2,1,5,1,3,0,0,0,0,1,1,1,3,2,,1,1,6,3,2,2,2,2,2,2,0,1,1,0,0,0,0,0,2,3,4,3,4,0,0,0,0,1,1,,"",4,"",3,2,1,1,2,5,4,3,2,1,3,,,,,,,,"",,1,1,0,1,1,0,1,0,0,1,1,1,1,0,2,3,2,2,2,1,1,0,0,0,0,1,0,0,1,3,5,3,2,2,0,0,0,1,1,0,0,1,1,2,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","33157",1,1796.37,6,6,29apr2025 14:00:00,"spanish",.5741728
1514,"hgb9p0sea9uz9wrx",29apr2025 14:18:00,4,2,2,0,1,0,0,0,0,0,13,"",1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,2,4,2,2,1,1,0,8,"Casarme",0,1,0,2,1,2,2,2,2,2,2,2,,3,1,0,0,0,0,0,0,0,0,0,0,,1,5,4,4,,4,0,0,0,1,0,2,1,5,2,4,0,0,1,0,0,1,1,2,3,,2,1,3,4,1,2,1,2,2,2,0,0,0,0,0,1,0,0,2,3,3,2,3,0,0,0,0,1,3,,"",4,"",3,1,2,1,2,5,5,4,1,1,3,,,,,,,,"",,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,2,1,0,0,0,0,0,0,0,0,1,,2,2,3,2,2,0,0,0,0,1,0,0,,2,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","99336",8,418.41,1,1,29apr2025 14:10:00,"spanish",1.055465
1526,"sefrh2d9u2jcy3mj",29apr2025 14:32:00,3,2,2,0,1,0,0,0,0,0,17,"",3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,6,3,1,24,1,2,0,1,0,1,"",0,1,0,2,1,2,2,3,2,2,2,2,,2,2,0,0,0,0,0,1,0,0,1,,1,0,4,4,5,,4,0,1,0,0,0,2,2,5,2,4,0,0,0,0,1,2,2,1,1,,2,1,5,3,2,3,3,2,2,2,0,0,0,1,1,0,0,0,4,2,3,1,2,1,0,0,1,0,4,,"",1,"",2,3,2,2,4,4,4,4,2,3,3,,,,,,,,"",,1,1,0,1,1,0,0,0,0,1,1,1,0,0,2,2,3,2,2,0,0,0,0,0,0,0,0,1,,3,10,1,1,1,0,0,0,1,1,0,0,1,2,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","44139",8,1015.95,5,6,29apr2025 14:15:00,"spanish",.575708
1552,"s7vs7bz7u4tsncdf",29apr2025 14:54:00,3,1,2,0,1,0,0,0,0,0,13,"",1,5,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,35,2,1,1,0,0,6,"",1,0,0,3,3,3,2,3,3,3,3,2,1,,2,0,0,0,0,0,0,0,0,0,,0,1,5,5,3,3,,0,0,0,0,1,3,3,7,3,5,0,0,0,0,1,3,3,2,2,2,,3,1,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,2,3,3,3,3,0,0,0,0,1,5,9,"",,"",2,3,2,2,4,4,1,4,2,1,3,,,,,,,,"",,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,2,1,2,1,0,0,0,0,0,0,0,0,1,,3,9,1,2,4,0,0,0,0,0,1,0,1,3,,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","91911",1,1494.2,6,6,29apr2025 14:17:00,"english",.5853218
1583,"6ynzuw02y9mznht9",29apr2025 14:33:00,4,1,2,0,1,0,0,0,0,0,13,"",1,15,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,32,2,2,0,1,0,1,"",0,1,0,2,3,2,2,2,2,2,2,2,,4,1,0,0,0,0,0,0,0,0,1,1,,0,3,2,2,,2,0,1,0,0,0,1,3,7,2,2,0,0,0,0,1,1,1,3,3,,2,4,2,4,2,2,2,2,2,2,0,1,0,0,0,0,1,0,2,1,2,1,2,0,0,1,0,0,4,,"",3,"",3,3,3,1,3,5,3,4,4,1,3,,,,,,,,"",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,,,0,1,0,0,0,0,0,0,0,1,3,7,1,1,2,0,0,0,0,0,1,0,,1,2,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","46528",8,699.1,1,1,29apr2025 14:21:00,"spanish",1.239915
1590,"3wwgf86wgx1d9r0p",29apr2025 14:59:00,4,1,2,0,1,0,0,0,0,0,13,"",1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,6,3,2,27,2,1,1,0,0,1,"",1,0,0,2,2,2,2,2,2,2,2,2,4,,2,1,0,1,0,0,0,1,0,0,0,,0,5,5,5,5,,0,1,1,0,0,2,1,5,1,4,0,0,0,0,1,2,2,3,1,2,,1,8,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,2,1,2,2,3,1,0,0,0,0,6,4,"",,"",3,2,1,1,2,4,5,3,2,3,3,,,,,,,,"",,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2,6,0,,,0,0,0,0,0,0,0,0,1,,2,8,1,1,2,0,0,0,1,1,0,0,,3,,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","78043",1,901.08,6,6,29apr2025 14:22:00,"spanish",1.229668
1595,"w9zju5wcarz8b308",29apr2025 14:55:00,5,2,2,0,1,0,0,0,0,0,13,"",1,5,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,19,2,1,1,0,0,1,"",1,0,0,3,3,1,3,3,3,3,1,3,1,,3,0,0,0,0,0,0,0,0,0,,1,0,4,3,3,2,,0,0,0,0,1,4,2,7,2,1,0,0,0,0,1,3,4,5,5,2,,1,1,4,2,2,2,2,3,2,0,1,0,0,0,0,0,0,4,3,3,3,2,0,0,0,0,1,3,9,"",,"",3,3,4,5,5,3,3,3,3,3,3,,,,,,,,"",,1,1,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,,,0,0,0,0,0,0,0,0,1,,4,8,1,2,4,0,0,0,0,0,0,1,1,3,,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","92557",1,1932.22,6,6,29apr2025 14:22:00,"spanish",.9420023
1605,"z16f9rzh52qx58dz",29apr2025 15:06:00,5,1,2,0,1,0,0,0,0,0,13,"",1,5,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,42,1,2,0,1,0,6,"",0,1,0,3,3,2,2,2,3,3,2,2,,1,1,1,0,0,0,0,0,1,1,1,1,,0,5,5,5,,4,0,1,1,0,0,1,2,6,3,4,0,0,0,0,1,3,1,2,2,,3,1,2,2,2,2,3,2,2,2,0,0,0,1,1,0,0,0,3,2,3,2,4,0,0,0,0,1,4,,"",3,"",4,2,1,1,2,5,5,2,2,2,3,,,,,,,,"",,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,,,1,0,0,0,1,0,1,0,0,4,2,5,3,1,3,0,0,0,0,0,0,1,,3,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","90302",1,2321.41,6,6,29apr2025 14:27:00,"english",.8607673
1611,"6hjdhvpxs9m1e2jj",29apr2025 15:01:00,5,2,2,0,1,0,0,0,0,0,13,"",1,10,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,6,52,1,2,0,1,0,6,"",0,1,0,3,3,2,3,3,3,3,2,3,,1,1,0,0,0,0,0,0,0,0,0,0,,1,2,1,3,,1,0,0,0,0,1,2,1,7,3,5,0,0,0,0,1,2,4,5,5,,2,4,21,3,2,2,2,2,2,2,0,0,0,0,0,0,0,1,3,5,5,1,5,0,0,1,0,0,6,,"",3,"",3,3,4,3,4,2,1,4,4,3,3,,,,,,,,"",,1,0,0,0,1,0,1,0,1,1,1,1,1,0,3,1,0,,,0,0,0,0,0,0,0,0,1,,2,13,2,3,4,1,0,0,0,0,0,0,,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"","32353",8,1878.52,5,6,29apr2025 14:28:00,"english",.8443717
1612,"tzrp3da43shhu5hb",29apr2025 15:10:00,4,1,2,1,1,0,0,0,0,0,13,"",1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,7,3,3,28,2,2,0,1,0,6,"",0,1,0,1,1,2,1,1,2,1,2,2,,2,2,0,0,0,0,0,1,1,0,1,0,,0,1,1,1,,1,1,0,0,0,0,1,1,6,1,1,1,0,0,0,0,1,2,1,2,,1,1,6,4,2,1,1,1,1,1,1,0,0,0,0,1,1,0,2,1,1,1,1,1,0,0,0,0,2,,"",1,"",2,1,1,2,1,4,5,1,2,1,1,1,0,0,0,0,0,0,"",1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,2,1,1,2,0,0,0,1,0,0,0,0,0,1,3,10,1,1,1,0,1,0,0,0,0,0,,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","98105",6,2279.21,5,6,29apr2025 14:30:00,"english",1.127195
1618,"52vt9xye6ftp960n",29apr2025 14:43:00,4,1,2,0,1,0,0,0,0,0,8,"",5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,1,1,1,25,2,1,1,0,0,6,"",1,0,0,3,2,2,2,3,2,2,2,2,1,,2,0,0,0,0,0,0,0,0,0,,1,0,1,1,1,1,,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,1,1,3,4,2,,4,7,1,2,2,1,2,2,1,0,0,0,0,1,1,1,0,3,1,1,3,1,1,0,0,0,0,3,3,"",,"",1,1,1,1,2,3,1,1,3,1,1,0,1,0,0,0,1,0,"",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,0,0,0,0,0,0,0,0,1,,4,13,4,4,4,1,0,0,0,0,0,0,3,4,,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","11207",8,465.88,1,2,29apr2025 14:35:00,"spanish",1.239915
1620,"djca3m5nd8rvzsb7",01may2025 14:57:00,4,2,2,0,1,0,0,0,0,0,13,"",1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,4,2,1,36,2,2,0,1,0,6,"",0,1,0,2,2,2,2,2,2,2,2,2,,1,2,0,0,0,0,0,0,1,0,0,,0,0,5,4,4,,2,0,0,1,0,0,1,1,6,1,4,0,0,0,0,1,1,1,2,1,,1,3,4,3,2,2,2,2,2,2,0,0,1,0,0,1,1,0,3,2,4,2,3,0,0,0,1,0,4,,"",4,"",3,2,1,1,3,4,4,4,4,1,3,,,,,,,,"",,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,3,2,2,0,0,0,0,0,0,0,0,1,,3,5,1,2,4,0,0,0,0,0,0,1,1,2,2,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","75702",1,1943.33,6,6,29apr2025 14:35:00,"spanish",.7829629
1622,"7xax5bgzp8m1fu92",29apr2025 15:19:00,4,2,2,0,1,0,0,0,0,0,13,"",1,5,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,36,2,2,0,1,0,6,"",0,1,0,2,3,2,1,1,2,3,2,2,,1,2,1,0,0,0,0,0,1,0,0,1,,0,5,5,5,,4,0,1,1,0,0,2,2,7,2,4,0,0,0,0,1,3,3,2,2,,2,1,3,2,2,2,3,2,2,2,0,0,0,1,1,0,0,0,4,3,3,2,4,0,0,0,0,1,3,,"",4,"",3,2,1,1,2,5,5,2,2,3,3,,,,,,,,"",,0,1,0,1,0,0,0,0,0,0,1,1,0,0,3,2,1,2,2,1,0,0,0,0,0,1,0,0,4,2,7,4,2,4,0,0,0,0,0,1,0,,2,2,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","91744",1,2456.72,6,6,29apr2025 14:38:00,"spanish",.8059912
1625,"cub79r45pbjn618c",29apr2025 14:58:00,6,1,2,0,1,0,0,0,0,0,7,"",4,10,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,3,2,1,1,0,0,3,"",1,0,0,2,3,2,3,3,3,1,3,3,1,,1,0,0,0,0,0,0,0,0,1,0,,0,5,2,4,4,,1,0,1,0,0,3,1,7,1,3,0,0,0,0,1,3,4,1,1,2,,3,8,2,2,2,2,2,3,3,0,0,1,0,0,0,0,0,1,3,4,2,3,0,0,0,1,0,3,9,"",,"",3,2,2,1,2,5,5,4,2,1,3,,,,,,,,"",,0,1,0,1,1,0,1,0,1,1,1,0,1,0,2,3,0,,,0,0,0,0,0,0,0,0,1,,2,3,2,2,3,0,0,0,0,1,0,0,,3,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","32246",8,1131.65,1,2,29apr2025 14:39:00,"spanish",1.337163
